from_node,to_node,distance
JP_324817350,JP_2052120227,234.0413694761894
JP_324817350,JP_1869474390,947.841213247003
JP_337591192,JP_818939265,67.41756329509487
JP_337591192,JP_818939268,79.1877324819087
JP_337591192,JP_598927469,77.89048421740235
JP_337591196,JP_598927505,119.8578499926701
JP_337591196,JP_598927454,210.44345273481937
JP_337591196,JP_598927509,79.1685482421139
JP_337592894,JP_8934697594,17.75038906546912
JP_337592894,JP_598927462,46.07907676827739
JP_337592897,JP_598927454,34.71701468315453
JP_337592897,JP_598927452,30.5649531656906
JP_337597705,JP_2635341175,136.28832674204693
JP_337597734,JP_7239172037,5.587541732597187
JP_337597734,JP_3307943464,257.88309446454684
JP_337597747,JP_337597749,20.095792543111873
JP_337597747,JP_11920910061,17.558151636550036
JP_337597749,JP_7205525901,231.78220626802835
JP_337597749,JP_11920910061,18.367266326051812
JP_337597774,JP_508062146,45.972488833546834
JP_337597774,JP_9528547190,7.089491840774649
JP_337597785,JP_602350955,53.91630654048703
JP_337597785,JP_2055376296,261.9908579908201
JP_337600181,JP_6257089897,7.199299933775514
JP_337600181,JP_7202846381,190.05785646323667
JP_337600181,JP_830358174,27.087889293944038
JP_352746513,JP_2569518616,73.78375374731978
JP_352746513,JP_2543981654,184.5078278400959
JP_451251135,JP_1857862050,130.0711420285844
JP_451251135,JP_2765960238,28.862429168866186
JP_451251135,JP_2446471433,129.0308076601839
JP_451325677,JP_2538730215,129.62177546917007
JP_451374417,JP_451389842,86.60588786084323
JP_451374417,JP_451377594,106.57629328593373
JP_451374419,JP_2765960238,91.03518013272183
JP_451374419,JP_451374435,116.06779653162364
JP_451374419,JP_451374417,112.22145066952639
JP_451374424,JP_3306998426,43.25539559723123
JP_451374424,JP_598159493,105.14460162899752
JP_451374434,JP_451374417,105.62673976134971
JP_451374434,JP_451374435,111.13288494955131
JP_451374435,JP_1857862050,113.04204280978064
JP_451374435,JP_598159635,12.166211485263856
JP_451377594,JP_451325677,121.9168326637925
JP_451377594,JP_451377600,92.30732236441159
JP_451377596,JP_451377594,168.18925847387615
JP_451377596,JP_2538730215,111.97737785809686
JP_451377598,JP_2538730186,63.89106605622947
JP_451377598,JP_8934740436,36.91742038088678
JP_451377600,JP_451374434,107.03459366381844
JP_451389842,JP_458403639,103.14665019109366
JP_451389842,JP_598159493,115.94765459156257
JP_451389870,JP_458403639,51.64929344531167
JP_452465943,JP_6041727633,93.94387142384602
JP_452465943,JP_10758338625,16.399927709658645
JP_452465951,JP_452465943,109.12848173302451
JP_452465951,JP_7202427103,24.34934458376905
JP_452487513,JP_7239164494,34.519218934646936
JP_452487513,JP_8932811166,7.7731706767948126
