node_id,longitude,latitude
JP_595343789,-34.852597,-7.1389841
JP_595347138,-34.8561063,-7.1363235
JP_598159446,-34.8494912,-7.1196288
JP_598159447,-34.8517273,-7.1196045
JP_598159448,-34.8533242,-7.1196329
JP_598159450,-34.8571682,-7.1196469
JP_598159453,-34.8141034,-7.1441183
JP_598159479,-34.8433072,-7.1195762
JP_598159484,-34.8431044,-7.1195732
JP_598159487,-34.8268387,-7.12676
JP_598159488,-34.827513,-7.1257723
JP_598159491,-34.8277735,-7.1250402
JP_598159493,-34.8370639,-7.1195145
JP_598159495,-34.8335943,-7.1195902
JP_598159497,-34.8287105,-7.1234558
JP_598159499,-34.8277057,-7.1233969
JP_598159500,-34.827909,-7.1234095
JP_598159501,-34.8268057,-7.1233193
JP_598159502,-34.8290488,-7.1223258
JP_598159504,-34.8277568,-7.1222685
JP_598159505,-34.8268623,-7.1222214
JP_598159506,-34.8286225,-7.1223079
JP_598159509,-34.8297608,-7.1195261
JP_598159511,-34.829789,-7.1194259
JP_598159512,-34.8295934,-7.1202386
JP_598159513,-34.8294206,-7.1209602
JP_598159514,-34.8285478,-7.1209169
JP_598159515,-34.8276318,-7.1209258
JP_598159516,-34.8277013,-7.1215471
JP_598159517,-34.8267324,-7.1209106
JP_598159518,-34.8268011,-7.1215629
JP_598159519,-34.8286054,-7.1215424
JP_598159520,-34.8274507,-7.1193997
JP_598159521,-34.8283506,-7.11941
JP_598159523,-34.8283563,-7.1194997
JP_598159525,-34.8274579,-7.1194995
JP_598159526,-34.8284532,-7.1202416
JP_598159528,-34.827561,-7.120308
JP_598159530,-34.8203748,-7.1372404
JP_598159535,-34.824591,-7.1302242
JP_598159542,-34.8256879,-7.1278709
JP_598159548,-34.8252165,-7.1292089
JP_598159550,-34.8230097,-7.1285808
JP_598159551,-34.8226328,-7.1296148
JP_598159556,-34.8243913,-7.1289587
JP_598159557,-34.8248522,-7.1276903
JP_598159567,-34.8258683,-7.1266387
JP_598159569,-34.8260024,-7.1256203
JP_598159571,-34.8237587,-7.1254067
JP_598159574,-34.8236118,-7.1262773
JP_598159576,-34.8250564,-7.1265006
JP_598159579,-34.8251927,-7.1255349
JP_598159586,-34.8252608,-7.124831
JP_598159590,-34.8261005,-7.1232563
JP_598159592,-34.8254071,-7.1232071
JP_598159593,-34.8239652,-7.1230888
JP_598159594,-34.8250207,-7.1231725
JP_598159595,-34.8250709,-7.1221646
JP_598159596,-34.8259752,-7.1221953
JP_598159599,-34.8256473,-7.1193522
JP_598159600,-34.8256598,-7.1194597
JP_598159601,-34.8258313,-7.1209085
JP_598159602,-34.824748,-7.11946
JP_598159603,-34.8247333,-7.1193413
JP_598159604,-34.8265396,-7.1193696
JP_598159605,-34.8239444,-7.1208998
JP_598159606,-34.8249327,-7.120905
JP_598159607,-34.8265564,-7.1194757
JP_598159608,-34.8259142,-7.1215784
JP_598159631,-34.8376885,-7.1094905
JP_598159635,-34.8364844,-7.1162387
JP_598159639,-34.832603,-7.1143237
JP_598159641,-34.8271826,-7.1178202
JP_598159642,-34.8280801,-7.1176065
JP_598159645,-34.8298413,-7.1172082
JP_598159649,-34.8289444,-7.1174092
JP_598159656,-34.8316012,-7.1138141
JP_598159658,-34.8315591,-7.1139051
JP_598159659,-34.8276634,-7.1156035
JP_598159660,-34.8267504,-7.1158178
JP_598159661,-34.8293972,-7.1152053
JP_598159662,-34.8285264,-7.1154036
JP_598159664,-34.8272844,-7.1138859
JP_598159669,-34.829091,-7.113773
